"@timestamp","process.command_line","process.executable","process.working_directory","process.pid","process.parent.pid","process.user.id"
"Nov 1, 2023 @ 23:54:39.967","rm -f /run/chrony-dhcp/enp1s0.sources","/usr/bin/rm","""/""",1808699,1808688,0
"Nov 1, 2023 @ 23:54:39.967","run-parts --list /etc/dhcp/dhclient-exit-hooks.d","/usr/bin/run-parts","""/""",1808698,1808688,0
"Nov 1, 2023 @ 23:54:39.967","flock -w 10 9","/usr/bin/flock","""/run/resolvconf/interface""",1808693,1808692,0
"Nov 1, 2023 @ 23:54:39.967","ip -4 600 dev enp1s0 label enp1s0 addr change 192.168.1.2/255.255.255.0 broadcast 192.168.1.255 valid_lft 600 preferred_lft","/usr/bin/ip","""/""",1808690,1808688,0
"Nov 1, 2023 @ 23:54:39.967","run-parts --list /etc/dhcp/dhclient-enter-hooks.d","/usr/bin/run-parts","""/""",1808689,1808688,0
"Nov 1, 2023 @ 23:54:39.967","/bin/sh /sbin/resolvconf -a enp1s0.dhclient","/usr/bin/dash","""/""",1808692,1808688,0
"Nov 1, 2023 @ 23:54:39.967","/bin/sh /sbin/dhclient-script","/usr/bin/dash","""/""",1808688,500,0
"Nov 1, 2023 @ 23:54:39.967","sed -e s/[[:blank:]]\+$// -e /^$/d","/usr/bin/sed","""/run/resolvconf/interface""",1808697,1808695,0
"Nov 1, 2023 @ 23:54:19.918","hostname -f","/usr/bin/hostname","""/""",1808686,672,0
"Nov 1, 2023 @ 23:53:59.883","/bin/sh /sbin/resolvconf -a enp1s0.dhclient","/usr/bin/dash","""/""",1808676,1808672,0
"Nov 1, 2023 @ 23:53:59.883","flock -w 10 9","/usr/bin/flock","""/run/resolvconf/interface""",1808677,1808676,0
"Nov 1, 2023 @ 23:53:59.883","sed -e s/[[:blank:]]\+$// -e /^$/d","/usr/bin/sed","""/run/resolvconf/interface""",1808681,1808679,0
"Nov 1, 2023 @ 23:53:59.883","/usr/bin/chronyc reload sources","/usr/bin/chronyc","""/""",1808685,1808672,0
"Nov 1, 2023 @ 23:53:59.883","/bin/sh /sbin/dhclient-script","/usr/bin/dash","""/""",1808672,500,0
"Nov 1, 2023 @ 23:53:59.883","rm -f /run/chrony-dhcp/enp1s0.sources","/usr/bin/rm","""/""",1808683,1808672,0
